LineOID,temperature-0,temperature-1,temperature-2,temperature-3,temperature-4,temperature-5,temperature-6,temperature-7,temperature-8,temperature-9,temperature-10,temperature-11,temperature-12,temperature-13,temperature-14,temperature-15,temperature-16,temperature-17,temperature-18,temperature-19,temperature-20,temperature-21,temperature-22,temperature-23,temperature-24,temperature-25,temperature-26,temperature-27,temperature-28,temperature-29,temperature-30,temperature-31,temperature-32,temperature-33,temperature-34,temperature-35,temperature-36,temperature-37,temperature-38,temperature-39,temperature-40,temperature-41,temperature-42,temperature-43,temperature-44,temperature-45
874,-0.5,0.146036,0.185074,0.44683500000000004,0.7779050000000001,1.19613,1.733712,1.973839,2.378349,2.7146529999999998,3.2105919999999997,3.923285,4.083752,4.5044059999999995,5.342015,5.755998,7.139823,6.433455,8.039469,9.568986,9.990212,10.528505000000001,10.502205,10.759532,12.080630000000001,12.8916,12.552186,12.879846,13.104727,12.271677,11.943439999999999,10.823419,9.918405,8.805237,4.063253,4.943161,5.520859,5.753215,4.048422,4.02933,3.6420550000000005,3.6224790000000002,2.406144,2.877624,2.727302,2.183897
875,-0.5,0.076026,0.201761,0.45169499999999996,0.760826,1.176976,1.642586,1.9911,2.467996,2.7404029999999997,3.265262,4.468271,4.419711,4.647001,5.963811,6.332339,8.321682000000001,7.503531,8.900112,10.292869,10.878252999999999,10.476958999999999,12.341575,13.143289999999999,13.20778,13.811107999999999,13.710029,13.761566,13.441809,12.424033,12.130732,10.823516999999999,10.112086999999999,8.92163,3.704932,4.6991309999999995,5.3842550000000005,5.526798,3.860868,3.619428,3.3234269999999997,3.243099,2.0290630000000003,2.3802790000000003,2.377653,1.754054
876,-0.5,0.258695,0.236094,0.46760799999999997,0.787979,1.185003,1.694216,1.999995,2.480012,2.758864,3.434717,4.558007,4.507537,4.789732,6.179454,6.716178,8.556187,7.305883000000001,9.06521,10.45705,11.209116,10.446397,12.443232,13.350736999999999,13.416367000000001,14.011660000000001,13.755810999999998,13.761026000000001,13.522857,12.597928999999999,12.258488999999999,10.940484,10.143847000000001,9.038755,3.7399080000000002,4.837797,5.342105999999999,5.551257,3.8833860000000002,3.693172,3.3522760000000003,3.3175879999999998,2.0029150000000002,2.420994,2.358027,1.761571
877,-0.493005,0.15653599999999998,0.25352800000000003,0.48295600000000005,0.786247,1.198073,1.695827,2.0180540000000002,2.461016,2.811817,3.251092,4.70301,4.6617180000000005,4.994511,6.488664,7.145737,8.93144,7.997264,9.346446,10.977422,11.530603,10.736425,13.194353,13.680426999999998,13.724164000000002,13.642529000000001,13.257871,13.749144,13.885008,12.993179,12.768529,11.416347,10.609763000000001,9.514061,4.435042,5.343312,5.806776999999999,6.1363,4.471569000000001,4.200882,3.794285,3.643265,2.182066,2.820681,2.60154,2.180559
878,-0.23512399999999997,0.64567,0.44632299999999997,0.566808,0.936068,1.338156,1.7097779999999998,2.1410669999999996,2.775716,3.246044,3.660683,5.365682,5.711384,5.424969,7.224886,8.235204,9.569174,8.3402,9.0585,11.673239,11.625717999999999,12.718441,13.939356,14.760457,14.788235999999998,14.40581,14.085257,14.006257999999999,14.276449,12.885444,13.424524,11.816134,11.001578,10.083587,4.897264,6.072087000000001,6.443,6.552125,5.001832,4.820348,4.208356,4.276491,2.947193,3.095455,3.044258,2.890371
879,-0.43872700000000003,0.41359399999999996,0.34818699999999997,0.583921,0.898073,1.305042,1.7427549999999998,2.1405,2.624661,3.0251959999999998,3.4307449999999995,4.940158,4.971792,5.042827,6.388632,7.463566,8.852834,8.086414,8.976396000000001,11.076445,11.555375,11.798561999999999,13.544858999999999,13.881497,14.127548999999998,14.298979999999998,14.021773000000001,14.157573999999999,14.436851999999998,13.079963000000001,13.182325,11.840222,10.777327,9.996146000000001,4.713135,5.8003730000000004,6.347208999999999,6.668178,4.717377,4.732419999999999,4.165514,4.096009,2.830429,3.349362,3.082949,2.618509
880,-0.29904899999999995,0.515918,0.42307700000000004,0.582939,0.901502,1.326493,1.716809,2.26755,3.0749400000000002,3.3023870000000004,3.692503,5.873601,5.4399239999999995,5.496117,7.184038,7.4156509999999995,9.199805,7.883087,9.19725,11.232265,11.183456,12.734478,13.67401,13.842732999999999,14.166534,14.279176000000001,13.878729000000002,14.02104,14.246620000000002,12.742616,12.824788999999999,11.802769,10.983848,9.859291,4.910792,6.026756,6.408758,6.169899,5.053392,4.737119,4.1980830000000005,4.205347,3.067646,3.399168,3.027327,2.6901669999999998
881,-0.371839,0.402715,0.402971,0.592486,0.910199,1.3207149999999999,1.7251349999999999,2.2622310000000003,2.806551,3.2058169999999997,3.547848,5.500306,5.345861,5.26949,6.966499000000001,7.540576,9.080826,8.060764,9.117572000000001,11.367035000000001,11.613407,12.616679,13.822432000000001,14.200679000000001,14.431772,14.468776,14.158883,14.169291000000001,14.473717,13.098063,13.196570999999999,11.908076,11.031168,10.147198,4.930649,6.033580000000001,6.4108540000000005,6.515916000000001,4.966173,4.8380019999999995,4.181786,4.060677,2.823541,3.415685,3.176187,2.658316
882,-0.352242,0.437147,0.412704,0.60087,0.927378,1.346163,1.738606,2.2947439999999997,2.84979,3.2407169999999996,3.592625,5.510921,5.364696,5.0303379999999995,7.019181,7.429557000000001,8.819517999999999,7.997085,9.004913,11.142633,11.3773,12.766817999999999,13.598864,14.367488,14.625129000000001,14.446366000000001,14.154012,14.136327,14.465229,13.209029999999998,13.431966000000001,11.90371,11.004438,10.164141,4.968031,6.076846,6.4397470000000006,6.438943,5.042383999999999,4.876517,4.230197,4.088348000000001,3.057396,3.544831,3.233603,2.786232
883,-0.345621,0.354037,0.412803,0.646291,0.9598530000000001,1.3745290000000001,1.840928,2.152403,2.5736060000000003,2.9273439999999997,3.3616620000000004,4.430033,4.649786,4.805062,5.9113940000000005,6.552459,8.219676,7.073944,8.94859,10.441868,10.976536,11.951880000000001,12.608842,13.509981,13.908694,13.820442000000002,13.609856,13.701007,13.831122,12.692923,12.981196,11.438987,10.645431,9.515289,4.485898000000001,5.370369,5.877103,6.08314,4.249901,4.334412,3.8289410000000004,3.819597,2.695529,3.143983,2.8808700000000003,2.349481
